id,object_id,intr_rate_type_nm,save_trm,intr_rate,intr_rate2,rsrv_type_nm,content_type_id
11704,610,단리,24,3.2,3.3,정액적립식,5
11705,610,단리,36,3.3,3.4,정액적립식,5
11706,610,복리,12,3.1,3.2,정액적립식,5
11707,610,복리,24,3.2,3.3,정액적립식,5
11708,610,복리,36,3.3,3.4,정액적립식,5
11709,611,복리,12,4.5,5.0,정액적립식,5
11710,611,단리,12,4.5,5.0,정액적립식,5
11711,612,단리,12,2.0,5.0,정액적립식,5
11712,612,단리,24,2.0,5.0,정액적립식,5
11713,612,복리,12,2.0,5.0,정액적립식,5
11714,612,복리,24,2.0,5.0,정액적립식,5
11715,613,단리,6,2.2,2.2,정액적립식,5
11716,613,단리,12,3.5,3.5,정액적립식,5
11717,613,단리,24,3.3,3.3,정액적립식,5
11718,613,단리,36,3.0,3.0,정액적립식,5
11719,613,복리,36,3.2,3.2,자유적립식,5
11720,613,복리,24,3.2,3.2,자유적립식,5
11721,613,복리,12,3.45,3.45,자유적립식,5
11722,613,복리,6,3.1,3.1,자유적립식,5
11723,613,복리,36,3.35,3.35,정액적립식,5
11724,613,복리,24,3.4,3.4,정액적립식,5
11725,613,복리,12,3.5,3.5,정액적립식,5
11726,613,복리,6,2.7,2.7,정액적립식,5
11727,613,단리,36,3.2,3.2,자유적립식,5
11728,613,단리,24,3.2,3.2,자유적립식,5
11729,613,단리,12,3.45,3.45,자유적립식,5
11730,613,단리,6,3.1,3.1,자유적립식,5
11731,613,단리,36,3.35,3.35,정액적립식,5
11732,613,단리,24,3.4,3.4,정액적립식,5
11733,613,단리,12,3.5,3.5,정액적립식,5
11734,613,단리,6,2.7,2.7,정액적립식,5
11735,613,복리,36,3.7,3.8,정액적립식,5
11736,613,복리,24,3.7,3.8,정액적립식,5
11737,613,복리,12,3.9,6.3,정액적립식,5
11738,613,복리,6,2.5,2.6,정액적립식,5
11739,613,단리,36,3.7,3.8,정액적립식,5
11740,613,단리,24,3.7,3.8,정액적립식,5
11741,613,단리,12,3.9,6.3,정액적립식,5
11742,613,단리,6,2.5,2.6,정액적립식,5
11743,613,단리,12,2.5,2.5,정액적립식,5
11744,613,단리,24,2.5,2.5,정액적립식,5
11745,613,단리,36,2.5,2.5,정액적립식,5
11746,614,단리,12,3.6,3.8,정액적립식,5
11747,614,단리,24,3.6,3.8,정액적립식,5
11748,614,단리,36,3.6,3.8,정액적립식,5
11749,614,복리,12,3.6,3.8,정액적립식,5
11750,614,복리,24,3.6,3.8,정액적립식,5
11751,614,복리,36,3.6,3.8,정액적립식,5
11752,614,복리,36,3.8,3.8,정액적립식,5
11753,614,복리,24,3.8,3.8,정액적립식,5
11754,614,복리,12,4.0,4.0,정액적립식,5
11755,614,복리,6,2.6,2.6,정액적립식,5
11756,614,단리,36,3.8,3.8,정액적립식,5
11757,614,단리,24,3.8,3.8,정액적립식,5
11758,614,단리,12,4.0,4.0,정액적립식,5
11759,614,단리,6,2.6,2.6,정액적립식,5
11760,615,단리,6,2.0,2.0,정액적립식,5
11761,615,단리,12,3.6,3.6,정액적립식,5
11762,615,단리,24,3.7,3.7,정액적립식,5
11763,615,단리,36,2.7,2.7,정액적립식,5
11764,616,단리,12,3.7,3.7,정액적립식,5
11765,616,단리,24,2.7,2.7,정액적립식,5
11766,617,단리,6,2.0,2.0,정액적립식,5
11767,617,단리,12,3.7,3.7,정액적립식,5
11768,617,단리,24,3.8,3.8,정액적립식,5
11769,617,단리,36,2.8,2.8,정액적립식,5
11770,618,단리,36,3.0,3.0,정액적립식,5
11771,618,단리,24,3.0,3.0,정액적립식,5
11772,618,단리,12,3.0,3.5,정액적립식,5
11773,618,단리,6,3.0,3.0,정액적립식,5
11774,619,단리,6,3.1,3.1,정액적립식,5
11775,619,단리,12,3.1,3.6,정액적립식,5
11776,619,단리,24,3.1,3.1,정액적립식,5
11777,619,단리,36,3.1,3.1,정액적립식,5
11778,620,단리,12,1.5,1.5,자유적립식,5
11779,620,단리,24,1.5,1.5,자유적립식,5
11780,620,단리,36,1.5,1.5,자유적립식,5
11781,621,단리,36,1.6,1.6,자유적립식,5
11782,621,단리,24,1.6,1.6,자유적립식,5
11783,621,단리,12,1.6,1.6,자유적립식,5
11784,622,단리,6,3.1,3.1,정액적립식,5
11785,622,단리,12,3.1,3.6,정액적립식,5
11786,622,단리,24,3.1,3.1,정액적립식,5
11787,622,단리,36,3.1,3.1,정액적립식,5
11788,623,단리,6,4.0,5.0,정액적립식,5
11789,623,단리,12,4.0,5.0,정액적립식,5
11790,624,단리,36,1.6,1.6,자유적립식,5
11791,624,단리,24,1.6,1.6,자유적립식,5
11792,624,단리,12,1.6,1.6,자유적립식,5
11793,625,단리,6,2.9,3.7,정액적립식,5
11794,625,단리,12,3.1,3.9,정액적립식,5
11795,625,단리,24,3.3,4.1,정액적립식,5
11796,625,단리,36,3.5,4.3,정액적립식,5
11797,626,단리,6,2.9,3.7,정액적립식,5
11798,626,단리,12,3.2,4.0,정액적립식,5
11799,626,단리,24,3.4,4.2,정액적립식,5
11800,626,단리,36,3.6,4.4,정액적립식,5
11801,627,단리,12,3.7,7.0,정액적립식,5
11802,628,단리,6,2.9,3.7,정액적립식,5
11803,628,단리,12,3.2,4.0,정액적립식,5
11804,628,단리,24,3.4,4.2,정액적립식,5
11805,628,단리,36,3.6,4.4,정액적립식,5
11806,629,단리,12,3.7,7.0,정액적립식,5
11807,630,단리,12,2.0,6.0,정액적립식,5
11808,631,단리,12,1.0,10.0,정액적립식,5
11809,632,단리,12,2.8,2.8,자유적립식,5
11810,633,단리,12,1.5,4.5,자유적립식,5
11811,634,단리,12,2.0,14.0,자유적립식,5
11812,635,단리,12,3.1,4.8,정액적립식,5
11813,636,단리,12,1.0,10.0,정액적립식,5
11814,636,단리,24,1.0,10.0,정액적립식,5
11815,636,단리,36,1.0,10.0,정액적립식,5
11816,637,단리,24,1.0,5.5,정액적립식,5
11817,637,단리,12,1.0,5.5,정액적립식,5
11818,638,단리,12,1.0,6.5,정액적립식,5
11819,638,단리,24,1.0,6.5,정액적립식,5
11820,639,단리,6,2.2,2.2,정액적립식,5
11821,639,단리,12,3.5,3.5,정액적립식,5
11822,639,단리,24,3.3,3.3,정액적립식,5
11823,639,단리,36,3.0,3.0,정액적립식,5
11824,639,복리,36,3.2,3.2,자유적립식,5
11825,639,복리,24,3.2,3.2,자유적립식,5
11826,639,복리,12,3.45,3.45,자유적립식,5
11827,639,복리,6,3.1,3.1,자유적립식,5
11828,639,복리,36,3.35,3.35,정액적립식,5
11829,639,복리,24,3.4,3.4,정액적립식,5
11830,639,복리,12,3.5,3.5,정액적립식,5
11831,639,복리,6,2.7,2.7,정액적립식,5
11832,639,단리,36,3.2,3.2,자유적립식,5
11833,639,단리,24,3.2,3.2,자유적립식,5
11834,639,단리,12,3.45,3.45,자유적립식,5
11835,639,단리,6,3.1,3.1,자유적립식,5
11836,639,단리,36,3.35,3.35,정액적립식,5
11837,639,단리,24,3.4,3.4,정액적립식,5
11838,639,단리,12,3.5,3.5,정액적립식,5
11839,639,단리,6,2.7,2.7,정액적립식,5
11840,639,복리,36,3.7,3.8,정액적립식,5
11841,639,복리,24,3.7,3.8,정액적립식,5
11842,639,복리,12,3.9,6.3,정액적립식,5
11843,639,복리,6,2.5,2.6,정액적립식,5
11844,639,단리,36,3.7,3.8,정액적립식,5
11845,639,단리,24,3.7,3.8,정액적립식,5
11846,639,단리,12,3.9,6.3,정액적립식,5
11847,639,단리,6,2.5,2.6,정액적립식,5
11848,639,단리,12,2.5,2.5,정액적립식,5
11849,639,단리,24,2.5,2.5,정액적립식,5
11850,639,단리,36,2.5,2.5,정액적립식,5
11851,640,단리,12,2.6,2.6,정액적립식,5
11852,640,단리,24,2.6,2.6,정액적립식,5
11853,640,단리,36,2.6,2.6,정액적립식,5
11854,421,단리,1,3.0,3.0,0.0,4
11855,421,단리,3,3.37,3.37,0.0,4
11856,421,단리,6,3.42,3.42,0.0,4
11857,421,단리,12,3.37,3.37,0.0,4
11858,421,단리,24,2.7,2.7,0.0,4
11859,421,단리,36,2.7,2.7,0.0,4
11860,422,단리,1,3.0,3.2,0.0,4
11861,422,단리,3,3.4,3.6,0.0,4
11862,422,단리,6,3.35,3.55,0.0,4
11863,422,단리,12,3.1,3.4,0.0,4
11864,423,단리,6,2.22,2.87,0.0,4
11865,423,단리,12,2.91,3.56,0.0,4
11866,423,단리,24,2.78,3.43,0.0,4
11867,423,단리,36,2.8,3.45,0.0,4
11868,424,단리,3,1.82,2.27,0.0,4
11869,424,단리,6,2.32,2.77,0.0,4
11870,424,단리,12,3.01,3.46,0.0,4
11871,424,단리,24,2.88,3.33,0.0,4
11872,424,단리,36,2.9,3.35,0.0,4
11873,425,단리,12,3.05,3.5,0.0,4
11874,426,단리,1,2.1,2.15,0.0,4
11875,426,단리,3,3.3,3.35,0.0,4
11876,426,단리,6,3.15,3.4,0.0,4
11877,426,단리,12,3.1,3.35,0.0,4
11878,426,단리,24,2.88,3.13,0.0,4
11879,426,단리,36,2.9,3.15,0.0,4
11880,427,단리,1,2.25,2.25,0.0,4
11881,427,단리,3,2.45,3.05,0.0,4
11882,427,단리,6,2.55,3.05,0.0,4
11883,427,단리,12,2.75,3.2,0.0,4
11884,427,단리,24,2.5,2.5,0.0,4
11885,427,단리,36,2.5,2.5,0.0,4
11886,428,단리,1,2.05,2.5,0.0,4
11887,428,단리,3,2.6,3.05,0.0,4
11888,428,단리,6,2.85,3.3,0.0,4
11889,428,단리,12,3.0,3.45,0.0,4
11890,428,단리,24,2.25,2.7,0.0,4
11891,428,단리,36,1.95,2.4,0.0,4
11892,429,단리,6,2.95,3.15,0.0,4
11893,429,단리,12,3.15,3.35,0.0,4
11894,430,복리,12,3.02,3.22,0.0,4
11895,430,복리,24,2.99,3.19,0.0,4
11896,430,복리,36,2.83,3.03,0.0,4
11897,431,단리,1,2.81,2.91,0.0,4
11898,431,단리,3,2.96,3.06,0.0,4
11899,431,단리,6,3.01,3.11,0.0,4
11900,431,단리,12,2.92,3.12,0.0,4
11901,431,단리,24,2.89,3.09,0.0,4
11902,431,단리,36,2.73,2.93,0.0,4
11903,432,단리,12,2.82,3.32,0.0,4
11904,433,단리,3,3.3,3.3,0.0,4
11905,433,단리,6,3.35,3.35,0.0,4
11906,433,단리,12,3.3,3.3,0.0,4
11907,434,단리,1,2.4,2.5,0.0,4
11908,434,단리,3,2.5,2.6,0.0,4
11909,434,단리,6,2.65,2.75,0.0,4
11910,434,단리,12,2.85,2.95,0.0,4
11911,434,단리,24,2.95,3.05,0.0,4
11912,434,단리,36,3.05,3.15,0.0,4
11913,435,단리,1,1.8,2.9,0.0,4
11914,435,단리,3,2.1,3.0,0.0,4
11915,435,단리,6,2.5,3.3,0.0,4
11916,435,단리,12,2.6,3.45,0.0,4
11917,435,단리,24,2.5,3.3,0.0,4
11918,435,단리,36,2.5,3.3,0.0,4
11919,436,단리,3,2.1,2.9,0.0,4
11920,436,단리,6,2.25,3.1,0.0,4
11921,436,단리,12,2.45,3.2,0.0,4
11922,437,단리,3,3.4,3.4,0.0,4
11923,437,단리,6,3.5,3.5,0.0,4
11924,437,단리,12,3.35,3.35,0.0,4
11925,438,단리,12,3.25,3.6,0.0,4
11926,438,단리,24,-1.0,3.35,0.0,4
11927,438,단리,36,-1.0,3.45,0.0,4
11928,439,단리,3,2.35,2.85,0.0,4
11929,439,단리,6,2.4,2.9,0.0,4
11930,439,단리,12,2.65,3.15,0.0,4
11931,439,단리,24,2.75,3.25,0.0,4
11932,440,단리,6,2.8,3.1,0.0,4
11933,440,단리,12,2.95,3.25,0.0,4
11934,440,단리,24,2.9,3.2,0.0,4
11935,441,단리,3,2.35,3.5,0.0,4
11936,441,단리,6,2.35,3.5,0.0,4
11937,441,단리,12,2.35,3.5,0.0,4
11938,442,단리,12,2.95,3.15,0.0,4
11939,442,단리,24,2.9,3.1,0.0,4
11940,442,단리,36,2.85,3.05,0.0,4
11941,443,단리,6,3.18,3.18,0.0,4
11942,443,단리,12,3.0,3.0,0.0,4
11943,443,단리,24,2.91,2.91,0.0,4
11944,443,단리,36,2.81,2.81,0.0,4
11945,444,단리,1,2.9,2.9,0.0,4
11946,444,단리,3,3.0,3.0,0.0,4
11947,444,단리,6,3.1,3.1,0.0,4
11948,444,단리,12,3.2,3.2,0.0,4
11949,444,단리,24,2.85,2.85,0.0,4
11950,444,단리,36,2.85,2.85,0.0,4
11951,445,단리,1,1.8,3.0,0.0,4
11952,445,단리,3,2.2,3.35,0.0,4
11953,445,단리,6,2.3,3.4,0.0,4
11954,445,단리,12,2.5,3.35,0.0,4
11955,445,단리,24,2.6,2.7,0.0,4
11956,445,단리,36,2.6,2.7,0.0,4
11957,446,단리,1,2.15,3.05,0.0,4
11958,446,단리,3,2.45,3.4,0.0,4
11959,446,단리,6,2.55,3.45,0.0,4
11960,446,단리,12,2.6,3.45,0.0,4
11961,447,단리,1,2.15,3.0,0.0,4
11962,447,단리,3,2.45,3.35,0.0,4
11963,447,단리,6,2.55,3.4,0.0,4
11964,447,단리,12,2.6,3.35,0.0,4
11965,447,단리,24,2.6,2.95,0.0,4
11966,447,단리,36,2.6,2.95,0.0,4
11967,448,단리,1,2.95,3.05,0.0,4
11968,448,단리,3,3.25,3.35,0.0,4
11969,448,단리,6,3.35,3.45,0.0,4
11970,448,단리,12,3.32,3.42,0.0,4
11971,449,단리,12,2.75,3.15,0.0,4
11972,449,단리,24,2.65,3.05,0.0,4
11973,449,단리,36,2.65,3.05,0.0,4
11974,450,단리,1,3.0,3.0,0.0,4
11975,450,단리,3,3.35,3.35,0.0,4
11976,450,단리,6,3.45,3.45,0.0,4
11977,450,단리,12,3.42,3.42,0.0,4
11978,450,단리,24,3.05,3.05,0.0,4
11979,450,단리,36,3.1,3.1,0.0,4
11980,451,단리,12,2.75,3.55,0.0,4
11981,452,단리,1,2.0,3.0,0.0,4
11982,452,단리,3,2.2,3.35,0.0,4
11983,452,단리,6,2.3,3.4,0.0,4
11984,452,단리,12,2.6,3.35,0.0,4
11985,452,단리,24,2.6,2.9,0.0,4
11986,452,단리,36,2.7,2.9,0.0,4
11987,453,단리,1,3.0,3.0,0.0,4
11988,453,단리,3,3.3,3.3,0.0,4
11989,453,단리,6,3.3,3.3,0.0,4
11990,453,단리,12,3.2,3.2,0.0,4
11991,453,단리,24,3.0,3.0,0.0,4
11992,453,단리,36,3.0,3.0,0.0,4
11993,454,단리,12,2.4,2.8,0.0,4
11994,455,단리,6,3.05,3.4,0.0,4
11995,455,단리,12,3.1,3.45,0.0,4
11996,456,단리,3,3.4,3.4,0.0,4
11997,456,단리,6,3.42,3.42,0.0,4
11998,456,단리,12,3.42,3.42,0.0,4
